,text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
2461,To Ivanka and JD Vance: real life James Bond movie - someone trying to kill her so #FBI can't find out who gave her… https://t.co/jiwwdzgCfX,To Ivanka and JD Vance real life James Bond movie  someone trying to kill her so FBI cant find out who gave her… httpstcojiwwdzgCfX,"['to', 'ivanka', 'and', 'jd', 'vance', 'real', 'life', 'james', 'bond', 'movie', 'someone', 'trying', 'to', 'kill', 'her', 'so', 'fbi', 'cant', 'find', 'out', 'who', 'gave', 'her', 'httpstcojiwwdzgcfx']","['ivanka', 'jd', 'vance', 'real', 'life', 'james', 'bond', 'movie', 'someone', 'trying', 'kill', 'fbi', 'cant', 'find', 'gave', 'httpstcojiwwdzgcfx']","['ivanka', 'jd', 'vanc', 'real', 'life', 'jame', 'bond', 'movi', 'someon', 'tri', 'kill', 'fbi', 'cant', 'find', 'gave', 'httpstcojiwwdzgcfx']","['ivanka', 'jd', 'vance', 'real', 'life', 'james', 'bond', 'movie', 'someone', 'trying', 'kill', 'fbi', 'cant', 'find', 'gave', 'httpstcojiwwdzgcfx']"
2465,"Why the inept #DOJ didn't search #Maralago, #Bedminster &amp; #TrumpTower at the SAME TIME is beyond me! 🤨… https://t.co/fA5uU6ipvU",Why the inept DOJ didnt search Maralago Bedminster amp TrumpTower at the SAME TIME is beyond me 🤨… httpstcofA uU ipvU,"['why', 'the', 'inept', 'doj', 'didnt', 'search', 'maralago', 'bedminster', 'amp', 'trumptower', 'at', 'the', 'same', 'time', 'is', 'beyond', 'me', 'httpstcofa', 'uu', 'ipvu']","['inept', 'doj', 'didnt', 'search', 'maralago', 'bedminster', 'amp', 'trumptower', 'time', 'beyond', 'httpstcofa', 'uu', 'ipvu']","['inept', 'doj', 'didnt', 'search', 'maralago', 'bedminst', 'amp', 'trumptow', 'time', 'beyond', 'httpstcofa', 'uu', 'ipvu']","['inept', 'doj', 'didnt', 'search', 'maralago', 'bedminster', 'amp', 'trumptower', 'time', 'beyond', 'httpstcofa', 'uu', 'ipvu']"
2468,"#FBI, #CISA, and #NSA Reveal How #Hackers Targeted a #DefenseIndustrial Base Organization https://t.co/lcVbduzxuY",FBI CISA and NSA Reveal How Hackers Targeted a DefenseIndustrial Base Organization httpstcolcVbduzxuY,"['fbi', 'cisa', 'and', 'nsa', 'reveal', 'how', 'hackers', 'targeted', 'a', 'defenseindustrial', 'base', 'organization', 'httpstcolcvbduzxuy']","['fbi', 'cisa', 'nsa', 'reveal', 'hackers', 'targeted', 'defenseindustrial', 'base', 'organization', 'httpstcolcvbduzxuy']","['fbi', 'cisa', 'nsa', 'reveal', 'hacker', 'target', 'defenseindustri', 'base', 'organ', 'httpstcolcvbduzxuy']","['fbi', 'cisa', 'nsa', 'reveal', 'hacker', 'targeted', 'defenseindustrial', 'base', 'organization', 'httpstcolcvbduzxuy']"
2469,"🤨 The FBI, where you can become a real part of the #metoo movement and then quietly retire to collect your pension… https://t.co/Ei5aHHZeYr",🤨 The FBI where you can become a real part of the metoo movement and then quietly retire to collect your pension… httpstcoEi aHHZeYr,"['', 'the', 'fbi', 'where', 'you', 'can', 'become', 'a', 'real', 'part', 'of', 'the', 'metoo', 'movement', 'and', 'then', 'quietly', 'retire', 'to', 'collect', 'your', 'pension', 'httpstcoei', 'ahhzeyr']","['', 'fbi', 'become', 'real', 'part', 'metoo', 'movement', 'quietly', 'retire', 'collect', 'pension', 'httpstcoei', 'ahhzeyr']","['', 'fbi', 'becom', 'real', 'part', 'metoo', 'movement', 'quietli', 'retir', 'collect', 'pension', 'httpstcoei', 'ahhzeyr']","['', 'fbi', 'become', 'real', 'part', 'metoo', 'movement', 'quietly', 'retire', 'collect', 'pension', 'httpstcoei', 'ahhzeyr']"
2472,"The earlier the #FBI can engage with organizations impacted by cyber intrusions, the better we can leverage our wor… https://t.co/o0YVlkXrM9",The earlier the FBI can engage with organizations impacted by cyber intrusions the better we can leverage our wor… httpstcoo YVlkXrM ,"['the', 'earlier', 'the', 'fbi', 'can', 'engage', 'with', 'organizations', 'impacted', 'by', 'cyber', 'intrusions', 'the', 'better', 'we', 'can', 'leverage', 'our', 'wor', 'httpstcoo', 'yvlkxrm', '']","['earlier', 'fbi', 'engage', 'organizations', 'impacted', 'cyber', 'intrusions', 'better', 'leverage', 'wor', 'httpstcoo', 'yvlkxrm', '']","['earlier', 'fbi', 'engag', 'organ', 'impact', 'cyber', 'intrus', 'better', 'leverag', 'wor', 'httpstcoo', 'yvlkxrm', '']","['earlier', 'fbi', 'engage', 'organization', 'impacted', 'cyber', 'intrusion', 'better', 'leverage', 'wor', 'httpstcoo', 'yvlkxrm', '']"
2474,FBI Director’s Protection Detail. There’s a nice coin that goes with this! #FBI #FederalBureauofInvestigation https://t.co/sgHrN8vlXz,FBI Director’s Protection Detail There’s a nice coin that goes with this FBI FederalBureauofInvestigation httpstcosgHrN vlXz,"['fbi', 'director', 's', 'protection', 'detail', 'there', 's', 'a', 'nice', 'coin', 'that', 'goes', 'with', 'this', 'fbi', 'federalbureauofinvestigation', 'httpstcosghrn', 'vlxz']","['fbi', 'director', 'protection', 'detail', 'nice', 'coin', 'goes', 'fbi', 'federalbureauofinvestigation', 'httpstcosghrn', 'vlxz']","['fbi', 'director', 'protect', 'detail', 'nice', 'coin', 'goe', 'fbi', 'federalbureauofinvestig', 'httpstcosghrn', 'vlxz']","['fbi', 'director', 'protection', 'detail', 'nice', 'coin', 'go', 'fbi', 'federalbureauofinvestigation', 'httpstcosghrn', 'vlxz']"
2475,@RonnyJacksonTX Is the #GOP not concerned with rising crime rates? Do you support the police and the #FBI? If so… https://t.co/jKK7uszlsG,RonnyJacksonTX Is the GOP not concerned with rising crime rates Do you support the police and the FBI If so… httpstcojKK uszlsG,"['ronnyjacksontx', 'is', 'the', 'gop', 'not', 'concerned', 'with', 'rising', 'crime', 'rates', 'do', 'you', 'support', 'the', 'police', 'and', 'the', 'fbi', 'if', 'so', 'httpstcojkk', 'uszlsg']","['ronnyjacksontx', 'gop', 'concerned', 'rising', 'crime', 'rates', 'support', 'police', 'fbi', 'httpstcojkk', 'uszlsg']","['ronnyjacksontx', 'gop', 'concern', 'rise', 'crime', 'rate', 'support', 'polic', 'fbi', 'httpstcojkk', 'uszlsg']","['ronnyjacksontx', 'gop', 'concerned', 'rising', 'crime', 'rate', 'support', 'police', 'fbi', 'httpstcojkk', 'uszlsg']"
2476,"Never forget or forgive. Defund and prosecute. 
#FBI #Election2020 

https://t.co/TtJK7dl2fe","Never forget or forgive Defund and prosecute 
FBI Election  

httpstcoTtJK dl fe","['never', 'forget', 'or', 'forgive', 'defund', 'and', 'prosecute', 'fbi', 'election', 'httpstcottjk', 'dl', 'fe']","['never', 'forget', 'forgive', 'defund', 'prosecute', 'fbi', 'election', 'httpstcottjk', 'dl', 'fe']","['never', 'forget', 'forgiv', 'defund', 'prosecut', 'fbi', 'elect', 'httpstcottjk', 'dl', 'fe']","['never', 'forget', 'forgive', 'defund', 'prosecute', 'fbi', 'election', 'httpstcottjk', 'dl', 'fe']"
2478,"Women, people like these have for a price, facilitated the 15 years of terror that I've experienced from some at the #FBI  #FBICorruption",Women people like these have for a price facilitated the   years of terror that Ive experienced from some at the FBI  FBICorruption,"['women', 'people', 'like', 'these', 'have', 'for', 'a', 'price', 'facilitated', 'the', 'years', 'of', 'terror', 'that', 'ive', 'experienced', 'from', 'some', 'at', 'the', 'fbi', 'fbicorruption']","['women', 'people', 'like', 'price', 'facilitated', 'years', 'terror', 'ive', 'experienced', 'fbi', 'fbicorruption']","['women', 'peopl', 'like', 'price', 'facilit', 'year', 'terror', 'ive', 'experienc', 'fbi', 'fbicorrupt']","['woman', 'people', 'like', 'price', 'facilitated', 'year', 'terror', 'ive', 'experienced', 'fbi', 'fbicorruption']"
2479,https://t.co/eqDCThdSy7 .. BlackByte Ransomware abuses vulnerable driver to bypass security solutions #news #tech… https://t.co/l5qzjw21Jd,httpstcoeqDCThdSy   BlackByte Ransomware abuses vulnerable driver to bypass security solutions news tech… httpstcol qzjw Jd,"['httpstcoeqdcthdsy', 'blackbyte', 'ransomware', 'abuses', 'vulnerable', 'driver', 'to', 'bypass', 'security', 'solutions', 'news', 'tech', 'httpstcol', 'qzjw', 'jd']","['httpstcoeqdcthdsy', 'blackbyte', 'ransomware', 'abuses', 'vulnerable', 'driver', 'bypass', 'security', 'solutions', 'news', 'tech', 'httpstcol', 'qzjw', 'jd']","['httpstcoeqdcthdsi', 'blackbyt', 'ransomwar', 'abus', 'vulner', 'driver', 'bypass', 'secur', 'solut', 'news', 'tech', 'httpstcol', 'qzjw', 'jd']","['httpstcoeqdcthdsy', 'blackbyte', 'ransomware', 'abuse', 'vulnerable', 'driver', 'bypass', 'security', 'solution', 'news', 'tech', 'httpstcol', 'qzjw', 'jd']"
