,text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
9625,"@TheGodless1Too @KyivIndependent Marco Rubio may not pass such info to #Putin directly but via Putin's best friend,… https://t.co/YVW3tbzwg8",TheGodless Too KyivIndependent Marco Rubio may not pass such info to Putin directly but via Putins best friend…  tbzwg ,"['thegodless', 'too', 'kyivindependent', 'marco', 'rubio', 'may', 'not', 'pass', 'such', 'info', 'to', 'putin', 'directly', 'but', 'via', 'putins', 'best', 'friend', 'tbzwg', '']","['thegodless', 'kyivindependent', 'marco', 'rubio', 'may', 'pass', 'info', 'putin', 'directly', 'via', 'putins', 'best', 'friend', 'tbzwg', '']","['thegodless', 'kyivindepend', 'marco', 'rubio', 'may', 'pass', 'info', 'putin', 'directli', 'via', 'putin', 'best', 'friend', 'tbzwg', '']","['thegodless', 'kyivindependent', 'marco', 'rubio', 'may', 'pas', 'info', 'putin', 'directly', 'via', 'putin', 'best', 'friend', 'tbzwg', '']"
9627,@MusicCityNetwrk Donate @MusicCityNetwrk #indie #internet #radio supporting all genres unsigned indie music playing… https://t.co/VzHevORwHU,MusicCityNetwrk Donate MusicCityNetwrk indie internet radio supporting all genres unsigned indie music playing… ,"['musiccitynetwrk', 'donate', 'musiccitynetwrk', 'indie', 'internet', 'radio', 'supporting', 'all', 'genres', 'unsigned', 'indie', 'music', 'playing', '']","['musiccitynetwrk', 'donate', 'musiccitynetwrk', 'indie', 'internet', 'radio', 'supporting', 'genres', 'unsigned', 'indie', 'music', 'playing', '']","['musiccitynetwrk', 'donat', 'musiccitynetwrk', 'indi', 'internet', 'radio', 'support', 'genr', 'unsign', 'indi', 'music', 'play', '']","['musiccitynetwrk', 'donate', 'musiccitynetwrk', 'indie', 'internet', 'radio', 'supporting', 'genre', 'unsigned', 'indie', 'music', 'playing', '']"
9632,https://t.co/gU6ZuDQRVG .. Reflected XSS bugs in Canon Medical ’s Vitrea View could expose patient info #news #tech… https://t.co/vHIxee69ZI, ZuDQRVG  Reflected XSS bugs in Canon Medical ’s Vitrea View could expose patient info news tech…  ZI,"['', 'zudqrvg', 'reflected', 'xss', 'bugs', 'in', 'canon', 'medical', 's', 'vitrea', 'view', 'could', 'expose', 'patient', 'info', 'news', 'tech', 'zi']","['', 'zudqrvg', 'reflected', 'xss', 'bugs', 'canon', 'medical', 'vitrea', 'view', 'could', 'expose', 'patient', 'info', 'news', 'tech', 'zi']","['', 'zudqrvg', 'reflect', 'xss', 'bug', 'canon', 'medic', 'vitrea', 'view', 'could', 'expos', 'patient', 'info', 'news', 'tech', 'zi']","['', 'zudqrvg', 'reflected', 'x', 'bug', 'canon', 'medical', 'vitrea', 'view', 'could', 'expose', 'patient', 'info', 'news', 'tech', 'zi']"
9635,"Trump Lashes Out at the FBI, Nuclear Insider secrets https://t.co/3bnMwH6FKz #biden #celebrities #censorship… https://t.co/nIU0lY8K03",Trump Lashes Out at the FBI Nuclear Insider secrets  bnMwH FKz biden celebrities censorship…  lY K ,"['trump', 'lashes', 'out', 'at', 'the', 'fbi', 'nuclear', 'insider', 'secrets', 'bnmwh', 'fkz', 'biden', 'celebrities', 'censorship', 'ly', 'k', '']","['trump', 'lashes', 'fbi', 'nuclear', 'insider', 'secrets', 'bnmwh', 'fkz', 'biden', 'celebrities', 'censorship', 'ly', 'k', '']","['trump', 'lash', 'fbi', 'nuclear', 'insid', 'secret', 'bnmwh', 'fkz', 'biden', 'celebr', 'censorship', 'ly', 'k', '']","['trump', 'lash', 'fbi', 'nuclear', 'insider', 'secret', 'bnmwh', 'fkz', 'biden', 'celebrity', 'censorship', 'ly', 'k', '']"
9638,Bombshell evidence revealed in FBI scandal https://t.co/6LzFNkKmS5 #FBI #Trump #DOJ #HouseOfTheDragon… https://t.co/DDn0n1qlCG,Bombshell evidence revealed in FBI scandal  LzFNkKmS  FBI Trump DOJ HouseOfTheDragon…  n qlCG,"['bombshell', 'evidence', 'revealed', 'in', 'fbi', 'scandal', 'lzfnkkms', 'fbi', 'trump', 'doj', 'houseofthedragon', 'n', 'qlcg']","['bombshell', 'evidence', 'revealed', 'fbi', 'scandal', 'lzfnkkms', 'fbi', 'trump', 'doj', 'houseofthedragon', 'n', 'qlcg']","['bombshel', 'evid', 'reveal', 'fbi', 'scandal', 'lzfnkkm', 'fbi', 'trump', 'doj', 'houseofthedragon', 'n', 'qlcg']","['bombshell', 'evidence', 'revealed', 'fbi', 'scandal', 'lzfnkkms', 'fbi', 'trump', 'doj', 'houseofthedragon', 'n', 'qlcg']"
9641,I have a foot fetish and screenshot women's toes #FBI https://t.co/Py37nY0rmm,I have a foot fetish and screenshot womens toes FBI  nY rmm,"['i', 'have', 'a', 'foot', 'fetish', 'and', 'screenshot', 'womens', 'toes', 'fbi', 'ny', 'rmm']","['foot', 'fetish', 'screenshot', 'womens', 'toes', 'fbi', 'ny', 'rmm']","['foot', 'fetish', 'screenshot', 'women', 'toe', 'fbi', 'ny', 'rmm']","['foot', 'fetish', 'screenshot', 'woman', 'toe', 'fbi', 'ny', 'rmm']"
9642,@theyneedgrace @shwizzzzle @FemmeVoilet @DarkBrandonJr @dld64376621 @KattMiss007 @SteveDe00589901 @DocDeezWhat… https://t.co/9CqglP8hle,theyneedgrace shwizzzzle FemmeVoilet DarkBrandonJr dld  KattMiss  SteveDe  DocDeezWhat…  CqglP hle,"['theyneedgrace', 'shwizzzzle', 'femmevoilet', 'darkbrandonjr', 'dld', 'kattmiss', 'stevede', 'docdeezwhat', 'cqglp', 'hle']","['theyneedgrace', 'shwizzzzle', 'femmevoilet', 'darkbrandonjr', 'dld', 'kattmiss', 'stevede', 'docdeezwhat', 'cqglp', 'hle']","['theyneedgrac', 'shwizzzzl', 'femmevoilet', 'darkbrandonjr', 'dld', 'kattmiss', 'steved', 'docdeezwhat', 'cqglp', 'hle']","['theyneedgrace', 'shwizzzzle', 'femmevoilet', 'darkbrandonjr', 'dld', 'kattmiss', 'stevede', 'docdeezwhat', 'cqglp', 'hle']"
9643,"#FBI
An unknown extremely Fast Martial
Artist can disarm you of your own
GUN and used it against you.
Correct Answe… https://t.co/NopUj1bz8a","FBI
An unknown extremely Fast Martial
Artist can disarm you of your own
GUN and used it against you
Correct Answe…  bz a","['fbi', 'an', 'unknown', 'extremely', 'fast', 'martial', 'artist', 'can', 'disarm', 'you', 'of', 'your', 'own', 'gun', 'and', 'used', 'it', 'against', 'you', 'correct', 'answe', 'bz', 'a']","['fbi', 'unknown', 'extremely', 'fast', 'martial', 'artist', 'disarm', 'gun', 'used', 'correct', 'answe', 'bz']","['fbi', 'unknown', 'extrem', 'fast', 'martial', 'artist', 'disarm', 'gun', 'use', 'correct', 'answ', 'bz']","['fbi', 'unknown', 'extremely', 'fast', 'martial', 'artist', 'disarm', 'gun', 'used', 'correct', 'answe', 'bz']"
9644,@ReddIsAri this is what the #FBI does with their $5 Billion per year budget--,ReddIsAri this is what the FBI does with their   Billion per year budget,"['reddisari', 'this', 'is', 'what', 'the', 'fbi', 'does', 'with', 'their', 'billion', 'per', 'year', 'budget']","['reddisari', 'fbi', 'billion', 'per', 'year', 'budget']","['reddisari', 'fbi', 'billion', 'per', 'year', 'budget']","['reddisari', 'fbi', 'billion', 'per', 'year', 'budget']"
9646,"@JoeBiden
@FBI
@AlanDersh
@joerogan
@CNN
@HillaryClinton
@newsmax
@TuckerCarlson
@DonaldJTrumpJr
@TheJusticeDept
Wa… https://t.co/Qg2r7WUAF9","JoeBiden
FBI
AlanDersh
joerogan
CNN
HillaryClinton
newsmax
TuckerCarlson
DonaldJTrumpJr
TheJusticeDept
Wa…  r WUAF ","['joebiden', 'fbi', 'alandersh', 'joerogan', 'cnn', 'hillaryclinton', 'newsmax', 'tuckercarlson', 'donaldjtrumpjr', 'thejusticedept', 'wa', 'r', 'wuaf', '']","['joebiden', 'fbi', 'alandersh', 'joerogan', 'cnn', 'hillaryclinton', 'newsmax', 'tuckercarlson', 'donaldjtrumpjr', 'thejusticedept', 'wa', 'r', 'wuaf', '']","['joebiden', 'fbi', 'alandersh', 'joerogan', 'cnn', 'hillaryclinton', 'newsmax', 'tuckercarlson', 'donaldjtrumpjr', 'thejusticedept', 'wa', 'r', 'wuaf', '']","['joebiden', 'fbi', 'alandersh', 'joerogan', 'cnn', 'hillaryclinton', 'newsmax', 'tuckercarlson', 'donaldjtrumpjr', 'thejusticedept', 'wa', 'r', 'wuaf', '']"
