"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1228","RT @FBI: The #FBI needs your help to solve eight homicides that occurred in Birmingham, Alabama, between 2021 and 2022. We're offering up t…",FALSE,0,NA,2022-10-09 22:01:05,FALSE,NA,"1579230494373613569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",280,TRUE,FALSE,NA,NA
"1229","RT @FBIBirmingham: #FBI Birmingham has partnered with State, Local, and other Federal Agencies to prepare for The World Games 2022. The Wor…",FALSE,0,NA,2022-10-09 22:01:03,FALSE,NA,"1579230486031126529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1230","As our country marks National #HispanicHeritageMonth, the #FBI celebrates our Hispanic-American colleagues' dedicat… https://t.co/2ebG2666o9",FALSE,1,NA,2022-10-09 22:00:52,TRUE,NA,"1579230439964700672",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","FBINewHaven",0,FALSE,FALSE,NA,NA
"1231","RT @FBI: The #FBI is celebrating 50 years of women serving as special agents by sharing some of their stories. Learn about @FBIAlbany Super…",FALSE,0,NA,2022-10-09 22:00:47,FALSE,NA,"1579230420213776384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",63,TRUE,FALSE,NA,NA
"1232","RT @FBIBaltimore: The #FBI works with our partners to educate the private sector about cybersecurity, prevent threats to critical infrastru…",FALSE,0,NA,2022-10-09 21:59:38,FALSE,NA,"1579230131138473985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",3,TRUE,FALSE,NA,NA
"1233","RT @FBIChicago: #FBI is seeking info regarding the location of David Patrick Sheffield. Sheffield is alleged to have used popular social me…",FALSE,0,NA,2022-10-09 21:59:06,FALSE,NA,"1579229996987478017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iwasthere102908",36,TRUE,FALSE,NA,NA
"1234","RT @FBI: Kathleen Adams, a police officer-turned-special agent, was the #FBI's first female SWAT operator, and went on to become a SWAT tea…",FALSE,0,NA,2022-10-09 21:58:54,FALSE,NA,"1579229947855769600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",38,TRUE,FALSE,NA,NA
"1235","RT @FBI: Fifty years ago this month, women entered the #FBI Training Academy in Quantico, Virginia, for the first time. In celebration of a…",FALSE,0,NA,2022-10-09 21:58:52,FALSE,NA,"1579229936518598657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",106,TRUE,FALSE,NA,NA
"1236","RT @FBIBirmingham: Internet scams take place everyday all over the world. The #FBI provides examples of things to look out for on the inter…",FALSE,0,NA,2022-10-09 21:58:44,FALSE,NA,"1579229905153593345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",3,TRUE,FALSE,NA,NA
"1237","RT @FBIBirmingham: Are you ready for a career change? Or, would you like to start a second career? Apply to the #FBI today!  It's a career…",FALSE,0,NA,2022-10-09 21:58:42,FALSE,NA,"1579229897746415616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",1,TRUE,FALSE,NA,NA
"1238","RT @EpochTimes: “Before our very eyes, Biden and his left-wing handlers are turning America into a police state,” said Trump.

Former Presi…",FALSE,0,NA,2022-10-09 21:57:15,FALSE,NA,"1579229532263174144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kseaberry",85,TRUE,FALSE,NA,NA
"1239","RT @RestlessNews: @FrankenforIowa @co_rapunzel4 @agavecorn @ReduxPanda @kjoerwin @fab4screamie #FBI #Veterans #Law #Hispanic #Latino #Latin…",FALSE,0,NA,2022-10-09 21:56:45,FALSE,NA,"1579229406060752898",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fab4screamie",5,TRUE,FALSE,NA,NA
"1240","RT @FBI: Female special agents from across the #FBI took part in the golden anniversary commemoration at Bureau Headquarters. #WomenWearThe…",FALSE,0,NA,2022-10-09 21:56:41,FALSE,NA,"1579229389795258368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",25,TRUE,FALSE,NA,NA
"1241","RT @FBIBirmingham: The #FBI remembers Special Agent Joseph J. Brock of the FBI's New York Office was killed #OTD in 1952 in the lobby of a…",FALSE,0,NA,2022-10-09 21:56:29,FALSE,NA,"1579229338419236864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",1,TRUE,FALSE,NA,NA
"1242","RT @FBIBirmingham: National security starts with network security. Visit https://t.co/OJTq8Tdq9h to read about cyber-threat trends, check o…",FALSE,0,NA,2022-10-09 21:56:18,FALSE,NA,"1579229290981269505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1243","RT @FBIBirmingham: The #FBI's July Artifact of the Month is a phone booth from the FBI's investigation into the bombing at Centennial Olymp…",FALSE,0,NA,2022-10-09 21:56:13,FALSE,NA,"1579229272417632256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1244","RT @FBIBirmingham: #DYK you are never too young or too old to start a career with the #FBI. Job requirements can be found listed in the job…",FALSE,0,NA,2022-10-09 21:56:05,FALSE,NA,"1579229239370731521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1245","RT @FBIMostWanted: The #FBI is offering a reward of up to $25,000 for information leading to the arrest of Joshuia Johnathon Luke Brown, wa…",FALSE,0,NA,2022-10-09 21:55:44,FALSE,NA,"1579229150916726785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",41,TRUE,FALSE,NA,NA
"1246","RT @FBI: The #FBI is committed to identifying and disrupting all Iranian intelligence and military operations that threaten our nation and…",FALSE,0,NA,2022-10-09 21:55:25,FALSE,NA,"1579229070633897984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",83,TRUE,FALSE,NA,NA
"1247","The FBI should dig up Ivana's coffin.  
At night. 
On Halloween.  
And Livestream it.
#FBI
#TrumpStoleTheDocs",FALSE,1,NA,2022-10-09 21:55:23,FALSE,NA,"1579229060030697472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EwokSpear",0,FALSE,FALSE,NA,NA
"1248","RT @FBIBirmingham: School is back in session for many Alabama Schools. Cyber Safety is important to practice at home and at school. #ThinkB…",FALSE,0,NA,2022-10-09 21:55:21,FALSE,NA,"1579229052887781378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",1,TRUE,FALSE,NA,NA
"1249","RT @FBIBirmingham: The #FBI remembers Special Agents Charles W. Elmore and J. Robert Porter, who were fatally shot #OTD in 1979 while in th…",FALSE,0,NA,2022-10-09 21:55:01,FALSE,NA,"1579228968234123264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1250","RT @FBIBirmingham: The #FBI remembers Special Agent Johnnie L. Oliver, who was fatally shot #OTD in 1979 in Cleveland, Ohio, while pursuing…",FALSE,0,NA,2022-10-09 21:54:56,FALSE,NA,"1579228949238145024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",1,TRUE,FALSE,NA,NA
"1251","RT @FBIBirmingham: The growing number and sophistication of #cyber threats poses a critical risk to U.S. businesses — especially small busi…",FALSE,0,NA,2022-10-09 21:54:48,FALSE,NA,"1579228914358300672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",4,TRUE,FALSE,NA,NA
"1252","RT @FBI: Shahram Poursafi is #wanted by the #FBI for allegedly using interstate commerce facilities in the commission of a murder for hire,…",FALSE,0,NA,2022-10-09 21:54:42,FALSE,NA,"1579228887388925952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",155,TRUE,FALSE,NA,NA
"1253","RT @FBI: In an effort to #StopRansomware, the #FBI and @CISAgov have issued a joint #CybersecurityAdvisory about the Zeppelin ransomware #c…",FALSE,0,NA,2022-10-09 21:54:32,FALSE,NA,"1579228846716760065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",141,TRUE,FALSE,NA,NA
"1254","RT @FBIBirmingham: Statement from #FBI Director Wray: https://t.co/xmvJcz0vGo https://t.co/UQxwZQb85t",FALSE,0,NA,2022-10-09 21:54:25,FALSE,NA,"1579228816941408256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1255","RT @FBIBirmingham: See something, say something. Report hate crimes to the #FBI at 1-800-CALL-FBI or online at https://t.co/8y0X7Od6lx. htt…",FALSE,0,NA,2022-10-09 21:54:22,FALSE,NA,"1579228803406376960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1256","RT @FBIBirmingham: #DYK you can stay connected with the #FBI through email updates? Subscribe here: https://t.co/BgBtq5oLgl to receive week…",FALSE,0,NA,2022-10-09 21:54:19,FALSE,NA,"1579228794468315137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
"1257","RT @FBIBirmingham: Update: The #FBI's Honors Internship Program application opens August 29th. Mark your calendars! Apply to intern with th…",FALSE,0,NA,2022-10-09 21:54:14,FALSE,NA,"1579228772452405248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBoys2022",2,TRUE,FALSE,NA,NA
